sym,ts,lp,bid_price,bid_quantity,ask_price,ask_quantity
EUR/AUD,2018-12-06T13:00:00.131Z,LP6,1575880,100000000,1576030,100000000
EUR/AUD,2018-12-06T13:00:00.131Z,LP5,1575830,100000000,1576090,100000000
EUR/AUD,2018-12-06T13:00:00.135Z,LP2,1575850,100000000,1576060,100000000
EUR/AUD,2018-12-06T13:00:00.147Z,LP2,1575810,100000000,1576020,100000000
EUR/AUD,2018-12-06T13:00:00.139Z,LP0,1575800,100000000,1576160,100000000
EUR/AUD,2018-12-06T13:00:00.141Z,LP0,1575800,100000000,1576120,100000000
EUR/AUD,2018-12-06T13:00:00.162Z,LP2,1575850,100000000,1576080,100000000
EUR/AUD,2018-12-06T13:00:00.193Z,LP5,1575830,100000000,1576080,100000000
EUR/AUD,2018-12-06T13:00:00.193Z,LP3,1575870,100000000,1576030,100000000
EUR/AUD,2018-12-06T13:00:00.195Z,LP2,1575870,100000000,1576090,100000000
EUR/AUD,2018-12-06T13:00:00.200Z,LP0,1575800,100000000,1576160,100000000
EUR/AUD,2018-12-06T13:00:00.204Z,LP4,1575860,100000000,1576050,100000000
EUR/AUD,2018-12-06T13:00:00.204Z,LP4,1575880,100000000,1576050,100000000
EUR/AUD,2018-12-06T13:00:00.204Z,LP7,1575810,100000000,1576100,100000000
EUR/AUD,2018-12-06T13:00:00.204Z,LP7,1575830,100000000,1576100,100000000
EUR/AUD,2018-12-06T13:00:00.204Z,LP3,1575870,100000000,1576050,100000000
EUR/AUD,2018-12-06T13:00:00.204Z,LP3,1575890,100000000,1576050,100000000
EUR/AUD,2018-12-06T13:00:00.204Z,LP6,1575880,100000000,1576050,100000000
EUR/AUD,2018-12-06T13:00:00.204Z,LP6,1575900,100000000,1576050,100000000
EUR/AUD,2018-12-06T13:00:00.204Z,LP5,1575830,100000000,1576100,100000000
EUR/AUD,2018-12-06T13:00:00.204Z,LP5,1575850,100000000,1576100,100000000
EUR/AUD,2018-12-06T13:00:00.208Z,LP2,1575880,100000000,1576110,100000000
EUR/AUD,2018-12-06T13:00:00.208Z,LP1,1575930,100000000,1576040,100000000
EUR/AUD,2018-12-06T13:00:00.213Z,LP3,1575890,100000000,1576040,100000000
EUR/AUD,2018-12-06T13:00:00.213Z,LP6,1575900,100000000,1576040,100000000
